date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:34	15185/15185	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Aug%202020%2006:33:14%20GMT	https://webhunt.store/themeforest/examin/index.html	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/index.html	(from )
23:04:35	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2005%20Jul%202021%2020:04:34%20GMT	https://webhunt.store/robots.txt		(from )
23:04:37	1970/1970	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Dec%202018%2022:24:42%20GMT	https://webhunt.store/themeforest/examin/assets/img/favicon.png	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/img/favicon.png	(from https://webhunt.store/themeforest/examin/index.html)
23:04:39	121200/121200	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Aug%202018%2002:45:16%20GMT	https://webhunt.store/themeforest/examin/assets/css/bootstrap.min.css	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/css/bootstrap.min.css	(from https://webhunt.store/themeforest/examin/index.html)
23:04:39	45633/45633	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Aug%202018%2002:45:16%20GMT	https://webhunt.store/themeforest/examin/assets/css/font-awesome.min.css	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/css/font-awesome.min.css	(from https://webhunt.store/themeforest/examin/index.html)
23:04:40	2779/2779	---M-Z	200	added ('OK')	text/css	date:Sat,%2008%20Dec%202018%2001:22:30%20GMT	https://webhunt.store/themeforest/examin/assets/css/flaticon-set.css	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/css/flaticon-set.css	(from https://webhunt.store/themeforest/examin/index.html)
23:04:41	6951/6951	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Aug%202018%2002:45:16%20GMT	https://webhunt.store/themeforest/examin/assets/css/magnific-popup.css	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/css/magnific-popup.css	(from https://webhunt.store/themeforest/examin/index.html)
23:04:42	2936/2936	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Aug%202018%2002:45:16%20GMT	https://webhunt.store/themeforest/examin/assets/css/owl.carousel.min.css	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/css/owl.carousel.min.css	(from https://webhunt.store/themeforest/examin/index.html)
23:04:43	936/936	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Aug%202018%2002:45:16%20GMT	https://webhunt.store/themeforest/examin/assets/css/owl.theme.default.min.css	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/css/owl.theme.default.min.css	(from https://webhunt.store/themeforest/examin/index.html)
23:04:44	69727/69727	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Aug%202018%2002:45:16%20GMT	https://webhunt.store/themeforest/examin/assets/css/animate.css	C:/Users/Batuhan%20URUSH/Desktop/projectx/Harpsan/webhunt.store/themeforest/examin/assets/css/animate.css	(from https://webhunt.store/themeforest/examin/index.html)
